num_col,size_col,size_chunk,canopy_size,cycles,cache-misses,time
2,1000,100,30,229060,370,7.9413e-05
3,1000,100,70,203454,156,6.9635e-05
4,1000,100,150,227295,174,7.7668e-05
5,1000,100,310,298704,45,0.000105674
6,1000,100,630,523025,555,0.000181595
7,1000,100,1270,808683,117,0.000308712
8,1000,100,2550,1734823,2144,0.000699144
9,1000,100,5110,3194040,674,0.00126272
10,1000,100,10230,7084662,7135,0.00284777
11,1000,100,20470,14767440,14401,0.00592757
12,1000,100,40950,30856687,20117,0.0123677
13,1000,100,81910,67687139,51000,0.0271364
14,1000,100,163830,143745757,91223,0.0575319
15,1000,100,327670,311088003,259858,0.124567
16,1000,100,655350,660183580,853479,0.26411
17,1000,100,1310710,1448988910,2264099,0.580037
18,1000,100,2621430,3082474249,5096400,1.2338
19,1000,100,5242870,6572702155,11085564,2.63043
