num_col,size_col,size_chunk,canopy_size,cycles,cache-misses,time
2,1000,100,30,39907,36,1.677e-06
3,1000,100,70,38460,8,2.724e-06
4,1000,100,150,41153,15,3.912e-06
5,1000,100,310,47495,4,6.076e-06
6,1000,100,630,57821,14,1.0267e-05
7,1000,100,1270,77078,13,1.7601e-05
8,1000,100,2550,117258,9,3.3665e-05
9,1000,100,5110,198989,6,6.5724e-05
10,1000,100,10230,362283,18,0.000130399
11,1000,100,20470,684320,21,0.000259542
12,1000,100,40950,1325711,34,0.000515523
13,1000,100,81910,2633535,114,0.00103642
14,1000,100,163830,5505508,2327,0.00219165
15,1000,100,327670,12446350,20911,0.00496462
16,1000,100,655350,29839464,95554,0.0119963
17,1000,100,1310710,62084083,230436,0.0248114
18,1000,100,2621430,127520427,528837,0.05106
19,1000,100,5242870,245902486,907368,0.0984641
