num_col,size_col,size_chunk,canopy_size,cycles,cache-misses,time
2,1000,100,30,213964,347,7.1801e-05
3,1000,100,70,220886,231,7.662e-05
4,1000,100,150,233550,152,7.8924e-05
5,1000,100,310,341468,232,0.000122368
6,1000,100,630,521215,180,0.000194656
7,1000,100,1270,908091,58,0.000348734
8,1000,100,2550,1848232,1154,0.000724568
9,1000,100,5110,3722086,1286,0.00147435
10,1000,100,10230,8018646,6307,0.00319308
11,1000,100,20470,17069235,11466,0.00685343
12,1000,100,40950,35969462,17562,0.0144127
13,1000,100,81910,77362079,43932,0.0310757
14,1000,100,163830,164286121,92777,0.0657788
15,1000,100,327670,352292337,261821,0.140914
16,1000,100,655350,768991095,859107,0.307764
17,1000,100,1310710,1667293614,2245596,0.667309
18,1000,100,2621430,3525426231,5096017,1.41109
19,1000,100,5242870,7434247459,11042899,2.9754
