num_col,size_col,size_chunk,canopy_size,cycles,cache-misses,time
2,1000000,1000,3000,54020886,9305,0.0217298
3,1000000,1000,6000,121683501,36784,0.0488096
4,1000000,1000,10000,217493059,71566,0.0869997
5,1000000,1000,15000,340449397,119911,0.13638
6,1000000,1000,21000,492241677,191478,0.196969
7,1000000,1000,28000,669480000,263802,0.268379
8,1000000,1000,36000,878959635,340479,0.352185
9,1000000,1000,45000,1110534782,431102,0.445231
10,1000000,1000,55000,1369849264,507263,0.548789
11,1000000,1000,66000,1656815089,602146,0.663898
12,1000000,1000,78000,1987880135,758884,0.795788
13,1000000,1000,91000,2334851145,857453,0.937638
14,1000000,1000,105000,2707018140,940143,1.08458
15,1000000,1000,120000,3106094574,1080354,1.24526
16,1000000,1000,136000,3529642928,1193314,1.41317
17,1000000,1000,153000,4011644742,1535623,1.60955
18,1000000,1000,171000,4476591220,1538038,1.79279
19,1000000,1000,190000,4988336106,1704730,2.0002
